tag	p_adj_expr_tag	OR_adj_expr_tag	p_adj_expr_pos_tag	OR_adj_expr_pos_tag	p_adj_expr_neg_tag	OR_adj_expr_neg_tag	p_value_expr_tag	OR_value_expr_tag	p_value_expr_pos_tag	OR_value_expr_pos_tag	p_value_expr_neg_tag	OR_value_expr_neg_tag
EncodeLung_POLR2A_tag	0.00177703007497832	3.41 (1.46-8.89)	2.01051552448954e-05	4.9 (2.24-11.03)	0.396431285412659	0.62 (0.18-1.66)	0.00995678054945924	2.86 (1.22-7.46)	4.29427076708123e-05	4.57 (2.09-10.28)	0.220048596903282	0.52 (0.16-1.4)
EncodeLung_A549_DNase_tag	0.000259729073946065	4.26 (1.77-11.74)	2.04209822991661e-07	6.84 (3.11-15.92)	0.202813053430736	0.46 (0.12-1.32)	0.00190312645348523	3.57 (1.49-9.86)	5.27842750947918e-07	6.38 (2.9-14.83)	0.0704351641135385	0.39 (0.1-1.12)
EncodeLung_A549_ATAC_tag	0.000314962012787371	2.32 (1.44-3.8)	2.2975544249925e-07	3.33 (2.08-5.32)	0.294383294441805	0.72 (0.38-1.27)	0.00115653791795982	2.16 (1.33-3.57)	1.47924992745218e-06	3.09 (1.93-4.93)	0.210848078060063	0.7 (0.39-1.22)
EncodeLung_A549_ATAC_Dnase_tag	0.00162792009443523	2.01 (1.28-3.21)	2.35858171400965e-06	2.93 (1.85-4.61)	0.253027069285792	0.71 (0.39-1.24)	0.00678565143572041	1.85 (1.17-2.97)	1.21666813896342e-05	2.71 (1.72-4.27)	0.180566426712362	0.69 (0.39-1.18)
EncodeLung_A549_H3K27ac_tag	0.589410223884477	1.14 (0.73-1.78)	0.00192246795764711	2.07 (1.28-3.29)	0.0107947497711417	0.46 (0.22-0.86)	0.914261776896134	1.04 (0.67-1.63)	0.00528248193385953	1.92 (1.19-3.05)	0.00729165354109521	0.47 (0.24-0.85)
EncodeLung_A549_H3K4me3_tag	0.741505800639557	1.08 (0.69-1.71)	0.00091306838438617	2.23 (1.37-3.56)	0.00112319262848045	0.35 (0.15-0.7)	1	0.99 (0.63-1.57)	0.0019415990273982	2.07 (1.28-3.3)	0.00110402763741972	0.37 (0.17-0.71)
EncodeLung_A549_H3K4me1_tag	0.490367658721809	0.89 (0.62-1.26)	1	1 (0.65-1.51)	0.476526296515453	0.84 (0.54-1.29)	0.547060950572413	0.9 (0.63-1.28)	0.840178021444945	1.05 (0.69-1.57)	0.381117887435579	0.83 (0.54-1.25)
EncodeLung_A549_H3K9ac_tag	0.578927303869098	1.14 (0.72-1.8)	0.00223335354652725	2.08 (1.27-3.35)	0.0123718014489148	0.45 (0.21-0.87)	0.911581619136245	1.05 (0.66-1.66)	0.00606823278490165	1.93 (1.18-3.11)	0.0113531525814057	0.46 (0.23-0.86)
EncodeLung_A549_H3K36me3_tag	0.202619380159194	1.22 (0.9-1.65)	0.130847991274244	1.3 (0.91-1.83)	1	1 (0.7-1.43)	0.331910324389086	1.16 (0.85-1.57)	0.222046847134553	1.23 (0.86-1.73)	1	0.99 (0.7-1.39)
EncodeLung_A549_H3K9me3_tag	0.464112737332707	1.33 (0.6-2.96)	1	1.03 (0.37-2.5)	0.387909033119376	1.4 (0.56-3.24)	0.854184544738081	1.11 (0.5-2.49)	1	0.96 (0.34-2.33)	0.67730059493194	1.19 (0.47-2.74)
EncodeLung_A549_CTCF_tag	0.019724546994477	3.28 (1.11-11.71)	0.000177048092954208	5.97 (2.14-18.08)	0.274385823259873	0.38 (0.04-1.61)	0.0620409710881184	2.76 (0.93-9.86)	0.000299912943858668	5.57 (2-16.87)	0.124398115947115	0.32 (0.04-1.36)
EncodeLung_A549_EP300_tag	0.363923133881855	2.03 (0.51-9.51)	0.13930212705388	2.84 (0.68-11.24)	1	0.72 (0.08-3.51)	0.547433950230342	1.71 (0.43-8.01)	0.147220325095668	2.65 (0.63-10.5)	0.737207663028664	0.61 (0.06-2.98)
EncodeLung_A549_POLR2A_tag	0.0516543728247315	4.66 (0.92-45.21)	0.000202252337373769	13.79 (2.73-134.26)	0.128991041263894	0 (0-1.44)	0.108292407712548	3.93 (0.78-38.11)	0.000297826973581014	12.88 (2.55-125.33)	0.0710364469608751	0 (0-1.23)
EncodeLung_H1299_DNase_tag	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)
EncodeLung_H1299_ATAC_tag	0.759164735451703	0.77 (0.16-3.25)	0.704310508355804	1.45 (0.24-6.39)	0.467707365090711	0.36 (0.01-2.61)	0.542055862889051	0.65 (0.13-2.74)	0.711219212653616	1.35 (0.22-5.97)	0.306231608361279	0.3 (0.01-2.22)
EncodeLung_H1299_ATAC_Dnase_tag	0.759164735451703	0.77 (0.16-3.25)	0.704310508355804	1.45 (0.24-6.39)	0.467707365090711	0.36 (0.01-2.61)	0.542055862889051	0.65 (0.13-2.74)	0.711219212653616	1.35 (0.22-5.97)	0.306231608361279	0.3 (0.01-2.22)
EncodeLung_H1299_H3K27ac_tag	0.297483925804228	0.38 (0.04-2.15)	1	1.12 (0.11-6.33)	0.209917903158325	0 (0-1.9)	0.172775914551586	0.32 (0.03-1.81)	1	1.05 (0.1-5.91)	0.118571141395105	0 (0-1.61)
EncodeLung_H1299_H3K4me3_tag	0.130617973525815	0.19 (0-1.58)	1	0.56 (0.01-4.64)	0.209329816705712	0 (0-2.25)	0.0660941737681631	0.16 (0-1.33)	1	0.52 (0.01-4.34)	0.199777208798566	0 (0-1.91)
EncodeLung_H1299_H3K4me1_tag	0.0998598521035075	Inf (0.48-Inf)	0.133056926696128	6.76 (0.35-399.03)	0.55331520475155	1.63 (0.03-31.33)	0.249538092012071	Inf (0.4-Inf)	0.146012035092265	6.32 (0.33-373.18)	1	1.38 (0.02-26.62)
EncodeLung_H1299_H3K9ac_tag	1	0.58 (0.01-11.1)	0.541983346099494	1.69 (0.03-32.45)	1	0 (0-7.87)	0.619653628028572	0.49 (0.01-9.36)	0.563075924930926	1.58 (0.03-30.38)	0.569591667412025	0 (0-6.69)
EncodeLung_H1299_H3K36me3_tag	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)
EncodeLung_H1299_H3K9me3_tag	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)
EncodeLung_H1299_CTCF_tag	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)
EncodeLung_H1299_EP300_tag	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)
EncodeLung_H1299_POLR2A_tag	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)	1	0 (0-Inf)
EncodeLung_peak_tag	1	0.99 (0.76-1.3)	0.000543977434919397	1.8 (1.27-2.6)	0.00081593941832362	0.6 (0.45-0.82)	0.895212746198627	0.98 (0.75-1.27)	0.000508554240782691	1.79 (1.27-2.56)	0.000454175490676959	0.6 (0.45-0.81)
